"средняя цена за кв. м, ₽",класс_проекта,Долгота,Широта
238861.01696047193,Комфорт,55.541086245765,37.490550636651
223078.69682197354,Комфорт,55.571509027111,37.47704350846
250383.97564051815,Комфорт,55.571509027111,37.47704350846
235982.35833934092,Комфорт,55.571509027111,37.47704350846
225271.49315171904,Комфорт,55.571509027111,37.47704350846
215681.47781045322,Комфорт,55.571509027111,37.47704350846
245368.66935112968,Комфорт,55.575993591068,37.471047406883
236654.36837798738,Комфорт,55.575993591068,37.471047406883
230538.09487502417,Комфорт,55.575993591068,37.471047406883
221676.41454904785,Комфорт,55.575993591068,37.471047406883
213746.78352323512,Комфорт,55.571509027111,37.47704350846
208476.04541511188,Комфорт,55.571509027111,37.47704350846
250773.8653484731,Комфорт,55.571509027111,37.47704350846
229127.64974768524,Комфорт,55.571509027111,37.47704350846
232021.12944484616,Комфорт,55.571509027111,37.47704350846
227578.40129053692,Комфорт,55.571509027111,37.47704350846
249482.9353709463,Комфорт,55.575993591068,37.471047406883
200955.3707591398,Комфорт,55.575993591068,37.471047406883
213867.1907739639,Комфорт,55.575993591068,37.471047406883
210549.46179724004,Комфорт,55.575435899932,37.471678516582
206495.6820962815,Комфорт,55.575435899932,37.471678516582
250985.5179842504,Комфорт,55.575435899932,37.471678516582
251643.20507898543,Комфорт,55.575435899932,37.471678516582
211770.86298988204,Комфорт,55.575435899932,37.471678516582
207785.97284025644,Комфорт,55.575435899932,37.471678516582
259295.4020565681,Комфорт,54.808886211742,56.428483266583
257219.33214268417,Комфорт,54.808886211742,56.428483266583
212973.78043405965,Комфорт,55.57918,37.1513
202381.94645612495,Комфорт,55.57918,37.1513
221273.3803377758,Комфорт,55.57918,37.1513
188313.26311694356,Комфорт,55.57918,37.1513
202826.41806376277,Комфорт,55.57918,37.1513
297332.2196643027,Бизнес,55.505552,37.332097
292314.8963646611,Бизнес,55.505552,37.332097
285703.9823188088,Бизнес,55.490575,37.327866
287636.64609485137,Бизнес,55.505552,37.332097
341500.059752561,Бизнес,55.505552,37.332097
214225.4325502068,Комфорт,55.513576161818,37.374823760435
189663.40576656396,Комфорт,55.49767998822,37.376641102988
230036.93364239132,Комфорт,55.49767998822,37.376641102988
231081.8222755632,Комфорт,55.49767998822,37.376641102988
222738.58187295517,Комфорт,55.49767998822,37.376641102988
192477.1926678189,Комфорт,55.49767998822,37.376641102988
210276.0830170786,Комфорт,55.49767998822,37.376641102988
225121.82569337316,Комфорт,55.49767998822,37.376641102988
198230.5695320979,Комфорт,55.49767998822,37.376641102988
225123.8884448012,Комфорт,55.513576161818,37.374823760435
220051.23246655986,Комфорт,55.49767998822,37.376641102988
207353.20487372205,Комфорт,55.49767998822,37.376641102988
210409.55638137998,Комфорт,55.513576161818,37.374823760435
204077.62980608977,Комфорт,55.488634419389,37.297290925541
201430.96906156925,Комфорт,55.489477890306,37.296792286121
193935.74944950105,Комфорт,55.513576161818,37.374823760435
187413.14394880476,Комфорт,55.0543067,38.6836789
192163.8284190597,Комфорт,55.0543067,38.6836789
204507.0467504929,Комфорт,55.0543067,38.6836789
202174.24558150294,Комфорт,55.487889687292,37.297531905257
209484.27998387328,Комфорт,55.0543067,38.6836789
210030.68035318577,Комфорт,55.0543067,38.6836789
208842.77643599,Комфорт,55.0543067,38.6836789
215997.60244290825,Комфорт,55.0543067,38.6836789
223189.02592677737,Эконом,55.528488,37.381432
220033.37347074275,Эконом,55.528488,37.381432
215214.74542905396,Эконом,55.528488,37.381432
222719.5523971289,Эконом,55.528488,37.381432
215039.36109096406,Эконом,55.528488,37.381432
