,Полный адресс,lat,lon,ближайшее_метро,расстояние_км,расстояние_м
0,"Сосенское пос., кв-л 26, з/у 3/3, к. 10.1.5",55.615527,37.482358,Тютчевская,0.3819371007178002,382
1,"Рассказовка дер., Переделкино Ближнее мкр., кв-л 17, к. 4",55.6339535,37.3343402,Рассказовка,0.06344315876366809,63
2,"Льва Кассиля ул., д. 1, к. 1  фаза 17 ",55.637139,37.306423,Пыхтино,1.4483882913427648,1448
4,"Александры Монаховой ул., к. 2.3",55.575993591068,37.471047406883,Коммунарка,0.23527873851132605,235
6,"Александры Монаховой ул., к. 6.1.2",55.575435899932,37.471678516582,Коммунарка,0.24117463131033637,241
8,"вблизи Алхимово дер., д. 8",55.475664,37.507313,Бунинская аллея,6.958349717033026,6958
9,"Дудкино дер., к. 1.3",55.630954,37.454259,Румянцево,0.8075384824685464,808
11,"вблизи дер. Середнево, к. 1.1",55.564037,37.28958,Аэропорт Внуково,4.803319740412343,4803
13,"Мосрентген пос., кв-л 24, з/у 1А, к. 2",55.6178,37.4723,Тютчевская,0.56636253667077,566
15,"Льва Кассиля ул., д. 1, к. 3  фаза 17 ",55.637139,37.306423,Пыхтино,1.4483882913427648,1448
16,"Николо-Хованское дер., д. 6.5",55.593597179089,37.44859794036,Прокшино,1.243870801945556,1244
20,"Сосенское пос., Столбово дер., к. 3.6.3",55.551127873305,37.460062257716,Новомосковская,1.0984316745104985,1098
21,"вблизи дер. Середнево, к. 1.3",55.564037,37.28958,Аэропорт Внуково,4.803319740412343,4803
22,"Внуковское пос., ТПУ ""Рассказовка"" тер., з/у 13/6А, 13/9А, к. 1  3 оч. ",55.632720098013,37.285687913728,Пыхтино,1.1574472634853317,1157
23,"Сосенское пос., вблизи Столбово дер., уч. 40/2, к. 17",55.548935,37.461364,Новомосковская,1.3153856421541825,1315
24,"вблизи Зимёнки дер., проект 18/2, кв-л 2, к. 3  1 оч. ",55.573164,37.385448,Прокшино,3.3679179976312374,3368
25,"Столбово дер., з/у 41/1Г, д. 3, к. 3.4",55.562047,37.472027,Новомосковская,0.304388382167917,304
26,"Рассказовка дер., кв-л 19, з/у 2, к. 1  фаза 18 ",55.6339535,37.3343402,Рассказовка,0.06344315876366809,63
27,"Александры Монаховой ул., з/у 87, к. 3.7.2",55.541086245765,37.490550636651,Потапово,1.3402239467698869,1340
29,"Льва Кассиля ул., д. 1, к. 2  фаза 17 ",55.637139,37.306423,Пыхтино,1.4483882913427648,1448
31,"Дудкино дер., к. 2.2",55.630583,37.453711,Румянцево,0.7881055434738827,788
