"Линия","Код станции[1]","Название станции
Прежние названия","Дата
открытия","Пере-
садки","Глубина,
м[2]","Тип конструкции","Координаты","Вид станции"
"","001","«Бульвар Рокоссовского»
Улица Подбельского (с 01.08.1990 до 08.07.2014)","1 августа 1990","","−8","колонная
мелкого заложения
трёхпролётная","55°48′53″ с. ш. 37°44′03″ в. д.HЯ",""
"","002","«Черкизовская»","1 августа 1990","","−9","односводчатая
мелкого заложения","55°48′14″ с. ш. 37°44′41″ в. д.HЯ",""
"","003","«Преображенская площадь»","31 декабря 1965","","−8","колонная
мелкого заложения
трёхпролётная","55°47′47″ с. ш. 37°42′54″ в. д.HЯ",""
"","004","«Сокольники»","15 мая 1935","","−9","колонная
мелкого заложения
трёхпролётная","55°47′20″ с. ш. 37°40′49″ в. д.HЯ",""
"","005","«Красносельская»","15 мая 1935","","−8","колонная
мелкого заложения
двухпролётная","55°46′48″ с. ш. 37°40′02″ в. д.HЯ",""
"","006","«Комсомольская»","15 мая 1935","","−8","колонная
мелкого заложения
трёхпролётная","55°46′31″ с. ш. 37°39′22″ в. д.HЯ",""
"","007","«Красные Ворота»
Лермонтовская (с 29.05.1962 до 25.08.1986)","15 мая 1935","","−31","пилонная
глубокого заложения
трёхсводчатая","55°46′08″ с. ш. 37°38′55″ в. д.HЯ",""
"","008","«Чистые пруды»
Кировская (с 15.05.1935 до 05.11.1990)","15 мая 1935","","−35","пилонная
глубокого заложения
трёхсводчатая
(До реконструкции —
двухсводчатая
глубокого заложения)[3]","55°45′57″ с. ш. 37°38′20″ в. д.HЯ",""
"","009","«Лубянка»
Дзержинская (с 15.05.1935 до 05.11.1990)","15 мая 1935","","−32,5
[нет в источнике]","пилонная
глубокого заложения
трёхсводчатая
(До реконструкции —
двухсводчатая
глубокого заложения)[3]","55°45′35″ с. ш. 37°37′38″ в. д.HЯ",""
"","010","«Охотный Ряд»
Имени Л. М. Кагановича
(с 25.11.1955 до 15.10.1957)
Проспект Маркса (с 30.11.1961 до 05.11.1990)","15 мая 1935","[4]","−15","пилонная
мелкого заложения
трёхсводчатая","55°45′28″ с. ш. 37°37′00″ в. д.HЯ",""
"","011","«Библиотека имени Ленина»","15 мая 1935","","−12","односводчатая
мелкого заложения","55°45′04″ с. ш. 37°36′36″ в. д.HЯ",""
"","012","«Кропоткинская»
Дворец Советов (с 15.05.1935 до 08.10.1957)","15 мая 1935","","−13","колонная
мелкого заложения
трёхпролётная","55°44′43″ с. ш. 37°36′13″ в. д.HЯ",""
"","013","«Парк культуры»
ЦПКиО имени Горького
(с 15.05.1935 до 1965)
Парк Культуры имени Горького
(с 1965 до 1980)","15 мая 1935","","−10,5
[нет в источнике]","колонная
мелкого заложения
трёхпролётная","55°44′08″ с. ш. 37°35′39″ в. д.HЯ",""
"","014","«Фрунзенская»","1 мая 1957","","−42","пилонная
глубокого заложения
трёхсводчатая","55°43′36″ с. ш. 37°34′43″ в. д.HЯ",""
"","015","«Спортивная»","1 мая 1957","","−42","пилонная
глубокого заложения
трёхсводчатая","55°43′24″ с. ш. 37°33′50″ в. д.HЯ",""
"","016","«Воробьёвы горы»
Ленинские горы (с 12.01.1959 до 12.05.1999)","12 января 1959","","+10","эстакадная крытая
колонная трёхпролётная","55°42′37″ с. ш. 37°33′33″ в. д.HЯ",""
"","017","«Университет»","12 января 1959","","−26,5
[нет в источнике]","пилонная
мелкого заложения
трёхсводчатая","55°41′33″ с. ш. 37°32′00″ в. д.HЯ",""
"","018","«Проспект Вернадского»","30 декабря 1963","","−8","колонная
мелкого заложения
трёхпролётная","55°40′38″ с. ш. 37°30′22″ в. д.HЯ",""
"","019","«Юго-Западная»","30 декабря 1963","","−8","колонная
мелкого заложения
трёхпролётная","55°39′49″ с. ш. 37°29′00″ в. д.HЯ",""
"","193","«Тропарёво»","8 декабря 2014","","−12","односводчатая
мелкого заложения","55°38′45″ с. ш. 37°28′21″ в. д.HЯ",""
"","194","«Румянцево»","18 января 2016","","−12","колонная
мелкого заложения
трёхпролётная","55°37′59″ с. ш. 37°26′31″ в. д.HЯ",""
"","195","«Саларьево»","15 февраля 2016","","−12","колонная
мелкого заложения
трёхпролётная","55°37′19″ с. ш. 37°25′27″ в. д.HЯ",""
"","308","«Филатов Луг»","20 июня 2019","","0","наземная
крытая","55°36′05″ с. ш. 37°24′28″ в. д.HЯ",""
"","309","«Прокшино»","20 июня 2019","","0","наземная
крытая","55°35′10″ с. ш. 37°26′02″ в. д.HЯ",""
"","310","«Ольховая»","20 июня 2019","","−12","однопролётная
мелкого заложения","55°34′07″ с. ш. 37°27′34″ в. д.HЯ",""
"","311","«Новомосковская»
Коммунарка (с 20.06.2019 до 03.07.2024)","20 июня 2019","","−8","колонная
мелкого заложения
трёхпролётная","55°33′37″ с. ш. 37°28′06″ в. д.HЯ",""
"","329","«Потапово»","5 сентября 2024","","0","наземная крытая","55°33′11″ с. ш. 37°29′35″ в. д.HЯ",""
"","199","«Ховрино»","31 декабря 2017","","−14","колонная
мелкого заложения
двухпролётная","55°52′44″ с. ш. 37°28′53″ в. д.HЯ",""
"","303","«Беломорская»","20 декабря 2018","","−18","колонная
мелкого заложения
двухпролётная","55°51′57″ с. ш. 37°28′35″ в. д.HЯ",""
"","039","«Речной вокзал»","31 декабря 1964","","−6","колонная
мелкого заложения
трёхпролётная","55°51′18″ с. ш. 37°28′34″ в. д.HЯ",""
"","038","«Водный стадион»","31 декабря 1964","","−6","колонная
мелкого заложения
трёхпролётная","55°50′23″ с. ш. 37°29′12″ в. д.HЯ",""
"","037","«Войковская»","31 декабря 1964","","−7","колонная
мелкого заложения
трёхпролётная","55°49′08″ с. ш. 37°29′53″ в. д.HЯ",""
"","036","«Сокол»","11 сентября 1938","","−9,6
[нет в источнике]","колонная
мелкого заложения
двухпролётная","55°48′18″ с. ш. 37°30′55″ в. д.HЯ",""
"","035","«Аэропорт»","11 сентября 1938","","−10","односводчатая
мелкого заложения","55°48′01″ с. ш. 37°31′58″ в. д.HЯ",""
"","034","«Динамо»","11 сентября 1938","","−39,6
[нет в источнике]","пилонная
глубокого заложения
трёхсводчатая","55°47′23″ с. ш. 37°33′29″ в. д.HЯ",""
"","033","«Белорусская»","11 сентября 1938","","−33,1
[нет в источнике]","пилонная
глубокого заложения
трёхсводчатая","55°46′36″ с. ш. 37°35′01″ в. д.HЯ",""
"","032","«Маяковская»","11 сентября 1938","","−33,1
[нет в источнике]","колонная
глубокого заложения
трёхсводчатая","55°46′12″ с. ш. 37°35′45″ в. д.HЯ",""
"","031","«Тверская»
Горьковская (с 20.07.1979 до 05.11.1990)","20 июля 1979","","−42","пилонная
глубокого заложения
трёхсводчатая","55°45′53″ с. ш. 37°36′23″ в. д.HЯ",""
"","030","«Театральная»
Площадь Свердлова (с 11.09.1938 до 05.11.1990)","11 сентября 1938","","−33,9
[нет в источнике]","пилонная
глубокого заложения
трёхсводчатая","55°45′28″ с. ш. 37°37′08″ в. д.HЯ",""
"","029","«Новокузнецкая»","20 ноября 1943","","−37,5
[нет в источнике]","пилонная
глубокого заложения
трёхсводчатая","55°44′29″ с. ш. 37°37′46″ в. д.HЯ",""
"","028","«Павелецкая»","20 ноября 1943","","−33,5
[нет в источнике]","колонная
глубокого заложения
трёхсводчатая
(До реконструкции —
двухсводчатая
глубокого заложения)[3]","55°43′50″ с. ш. 37°38′16″ в. д.HЯ",""
"","027","«Автозаводская»
Завод имени Сталина (с 01.01.1943 до 05.07.1956)","1 января 1943","","−11","колонная
мелкого заложения
трёхпролётная","55°42′27″ с. ш. 37°39′27″ в. д.HЯ",""
"","197","«Технопарк»","28 декабря 2015","","0","наземная, крытая
колонная
трёхпролётная","55°41′38″ с. ш. 37°39′52″ в. д.HЯ",""
"","026","«Коломенская»","11 августа 1969","","−9","колонная
мелкого заложения
трёхпролётная","55°40′43″ с. ш. 37°39′50″ в. д.HЯ",""
"","025","«Каширская»","11 августа 1969","","−7","колонная
мелкого заложения
трёхпролётная","55°39′18″ с. ш. 37°38′55″ в. д.HЯ",""
"","024","«Кантемировская»","30 декабря 1984","","−8","односводчатая
мелкого заложения","55°38′09″ с. ш. 37°39′23″ в. д.HЯ",""
"","023","«Царицыно»
Ленино (с 30.12.1984 до 05.11.1990)","30 декабря 1984","","−8","колонная
мелкого заложения
трёхпролётная","55°37′17″ с. ш. 37°40′10″ в. д.HЯ",""
"","022","«Орехово»","30 декабря 1984","","−9","колонная
мелкого заложения
трёхпролётная","55°36′48″ с. ш. 37°41′42″ в. д.HЯ",""
"","021","«Домодедовская»","7 сентября 1985","","−9,5
[нет в источнике]","колонная
мелкого заложения
трёхпролётная","55°36′39″ с. ш. 37°43′07″ в. д.HЯ",""
"","020","«Красногвардейская»","7 сентября 1985","","−9","односводчатая
мелкого заложения","55°36′49″ с. ш. 37°44′40″ в. д.HЯ",""
"","196","«Алма-Атинская»","24 декабря 2012","","−10","односводчатая
мелкого заложения","55°37′57″ с. ш. 37°45′58″ в. д.HЯ",""
"","200","«Пятницкое шоссе»","28 декабря 2012","","−11","колонная
мелкого заложения
двухпролётная","55°51′23″ с. ш. 37°21′16″ в. д.HЯ",""
"","060","«Митино»","26 декабря 2009","","−14","односводчатая
мелкого заложения","55°50′45″ с. ш. 37°21′44″ в. д.HЯ",""
"","059","«Волоколамская»","26 декабря 2009","","−14","колонная
мелкого заложения
трёхсводчатая","55°50′07″ с. ш. 37°22′56″ в. д.HЯ",""
"","058","«Мякинино»","26 декабря 2009","","0","наземная, крытая,
однопролётная","55°49′31″ с. ш. 37°23′07″ в. д.HЯ",""
"","057","«Строгино»","7 января 2008","","−8","односводчатая
мелкого заложения","55°48′14″ с. ш. 37°24′11″ в. д.HЯ",""
"","056","«Крылатское»","31 декабря 1989","","−9,5
[нет в источнике]","односводчатая
мелкого заложения","55°45′24″ с. ш. 37°24′29″ в. д.HЯ",""
"","055","«Молодёжная»","5 июля 1965","","−6,5
[нет в источнике]","колонная
мелкого заложения
трёхпролётная","55°44′27″ с. ш. 37°25′00″ в. д.HЯ",""
"","054","«Кунцевская»","7 января 2008","","0","наземная, открытая","55°43′51″ с. ш. 37°26′45″ в. д.HЯ",""
