,Коэффициент,Станд_ошибка,t_статистика,p_value,CI_025,CI_975,Значимость,|Коэф|
Intercept,204171.8392639462,537.0634347881979,380.16335881154447,0.0,203119.1883185752,205224.49020931718,***,204171.8392639462
"C(тип_квартиры, Treatment(reference='2-комн'))[T.1-комн]",-543.7681539365018,543.5127783670761,-1.0004698612058267,0.3170881076861679,-1609.0598921367532,521.5235842637497,,543.7681539365018
"C(тип_квартиры, Treatment(reference='2-комн'))[T.3-комн]",5370.165511861204,571.7267493311753,9.392888330209143,6.078915534677996e-21,4249.574043155671,6490.756980566738,***,5370.165511861204
"C(тип_квартиры, Treatment(reference='2-комн'))[T.4-комн]",33468.348564532826,1632.7420803297773,20.498245845279477,5.48052465128838e-93,30268.15398214807,36668.54314691758,***,33468.348564532826
"C(тип_квартиры, Treatment(reference='2-комн'))[T.Студия]",16239.731728835039,884.0195399797556,18.370331191103464,4.057926055390157e-75,14507.042545008726,17972.42091266135,***,16239.731728835039
"C(класс_жилья, Treatment(reference='Комфорт'))[T.Бизнес]",54077.89330628239,12992.456755816756,4.162253092131446,3.156593426001354e-05,28612.518080922186,79543.26853164259,***,54077.89330628239
"C(класс_жилья, Treatment(reference='Комфорт'))[T.Бизнес-]",20037.87813661879,864.1315341384135,23.18845840592735,2.5824484224372317e-118,18344.169689134524,21731.586584103057,***,20037.87813661879
"C(класс_жилья, Treatment(reference='Комфорт'))[T.Эконом]",3303.491578708496,761.1463699868003,4.3401528391520605,1.426679837670851e-05,1811.6353210798566,4795.347836337136,***,3303.491578708496
"C(район, Treatment(reference='Коммунарка'))[T.Внуково]",-22008.148622165758,464.5471563845549,-47.37548883831135,0.0,-22918.666768928917,-21097.6304754026,***,22008.148622165758
"C(район, Treatment(reference='Коммунарка'))[T.Троицк]",-34652.326734764865,411.9761140009577,-84.11246564329774,0.0,-35459.80499111721,-33844.84847841252,***,34652.326734764865
"C(район, Treatment(reference='Коммунарка'))[T.Филимонковский]",-44297.021028987954,407.4217788843864,-108.72521628638331,0.0,-45095.572732431545,-43498.46932554436,***,44297.021028987954
"C(район, Treatment(reference='Коммунарка'))[T.Щербинка]",-19205.293653982295,422.8971207703361,-45.413630669791594,0.0,-20034.177218079567,-18376.410089885023,***,19205.293653982295
"C(стадия, Treatment(reference='Строительство'))[T.Котлован]",-11807.117074531976,237.55221619563542,-49.7032495155013,0.0,-12272.722343399193,-11341.511805664759,***,11807.117074531976
"C(стадия, Treatment(reference='Строительство'))[T.Почти готов]",25159.70550645695,2825.331864120861,8.905044333362135,5.514383283655215e-19,19622.020262764083,30697.390750149818,***,25159.70550645695
"C(стадия, Treatment(reference='Строительство'))[T.Сдан]",13529.512107902234,1028.7863070804688,13.150944967664692,1.9598902177525475e-39,11513.078277957971,15545.945937846496,***,13529.512107902234
"C(застройщик_топ, Treatment(reference='Самолет'))[T.А101]",32157.972506409296,408.50488351653036,78.72114582715388,0.0,31357.297904549785,32958.64710826881,***,32157.972506409296
"C(застройщик_топ, Treatment(reference='Самолет'))[T.Абсолют Недвижимость]",51485.95556565848,481.5654131441454,106.91373209198343,0.0,50542.08142609046,52429.8297052265,***,51485.95556565848
"C(застройщик_топ, Treatment(reference='Самолет'))[T.Другие]",39404.16822691484,593.2226474271624,66.4239108163061,0.0,38241.4445332492,40566.89192058047,***,39404.16822691484
"C(застройщик_топ, Treatment(reference='Самолет'))[T.ПИК]",3378.201672737874,426.200830234243,7.926314153074714,2.3047250750489764e-15,2542.842797410776,4213.560548064972,***,3378.201672737874
"C(застройщик_топ, Treatment(reference='Самолет'))[T.РОСТ]",22764.844606310875,775.752042543465,29.345516811881772,1.149904597755628e-187,21244.361050622712,24285.328161999038,***,22764.844606310875
площадь_квартиры_std,-24285.886647394404,440.6133241150091,-55.118366418386586,0.0,-25149.494188197536,-23422.27910659127,***,24285.886647394404
этаж_лота_std,4446.987297234128,128.66978665845545,34.56123937656267,1.2470687662874888e-258,4194.792930994836,4699.1816634734205,***,4446.987297234128
первый_этаж,-10281.028117882242,908.4186853039051,-11.31749961136345,1.1699671940658532e-29,-12061.539926985286,-8500.516308779199,***,10281.028117882242
последний_этаж,-105.37120895277519,557.6940520297196,-0.18894088715717547,0.850139928481063,-1198.4584181543873,987.7160002488368,,105.37120895277519
есть_отделка,22664.329964711218,269.88567346311186,83.97752157010659,0.0,22135.35072145838,23193.309207964056,***,22664.329964711218
уступка_флаг,5009.733463693962,1053.48370621587,4.755397197066297,1.9861796567978496e-06,2944.8924273303364,7074.574500057588,***,5009.733463693962
ипотека_флаг,2649.3839190915073,294.6162302109707,8.992661121195935,2.496832027261831e-19,2071.932480090598,3226.8353580924168,***,2649.3839190915073
месяц_номер_std,-3248.0292185138833,119.30268030582091,-27.225115229497558,5.268401409437569e-162,-3481.863940959179,-3014.1944960685873,***,3248.0292185138833
