,Коэффициент,SE,t,p_value,CI_025,CI_975,Знач,|Коэф|
Intercept,215465.6905098818,343.5586555250155,627.1583819671605,0.0,214792.29981628805,216139.08120347554,***,215465.6905098818
"C(класс_жилья, Treatment(reference='Комфорт'))[T.Бизнес-]",17520.85722235595,1025.436977891837,17.086235039403903,3.9181359182796544e-65,15510.95379924466,19530.76064546724,***,17520.85722235595
"C(класс_жилья, Treatment(reference='Комфорт'))[T.Эконом]",8292.118327426011,725.4875503698521,11.429718295232917,3.447704583306471e-30,6870.129514509616,9714.107140342407,***,8292.118327426011
"C(район, Treatment(reference='Коммунарка'))[T.Внуково]",-24210.33570381469,601.2375978444933,-40.26750121850589,0.0,-25388.78892138368,-23031.8824862457,***,24210.33570381469
"C(район, Treatment(reference='Коммунарка'))[T.Троицк]",-35426.26101863893,530.7843695952623,-66.74322577669804,0.0,-36466.622683357455,-34385.8993539204,***,35426.26101863893
"C(район, Treatment(reference='Коммунарка'))[T.Филимонковский]",-49592.22208223884,497.99366078215996,-99.58404290598436,0.0,-50568.31245646305,-48616.13170801463,***,49592.22208223884
"C(район, Treatment(reference='Коммунарка'))[T.Щербинка]",-38889.800099611406,517.9939860254369,-75.07770582051054,0.0,-39905.09202696513,-37874.50817225768,***,38889.800099611406
"C(стадия, Treatment(reference='Строительство'))[T.Котлован]",-5414.165577310126,357.86253119768435,-15.129177003220056,1.6360214820978302e-51,-6115.592522080753,-4712.738632539498,***,5414.165577310126
"C(стадия, Treatment(reference='Строительство'))[T.Почти готов]",33546.649419873116,3010.353927001984,11.143755928155024,8.788397852518994e-29,27646.21790325581,39447.08093649043,***,33546.649419873116
"C(стадия, Treatment(reference='Строительство'))[T.Сдан]",13045.69141391426,1674.321000930583,7.791630999469934,6.835284764782554e-15,9763.945598509832,16327.437229318686,***,13045.69141391426
мин_комнатность,63189.14912758356,379.1621413666014,166.65468999577072,0.0,62445.973971745436,63932.32428342168,***,63189.14912758356
есть_отделка,13976.085569907207,379.6986307420969,36.808364419412925,6.41774806717121e-290,13231.858870331616,14720.312269482798,***,13976.085569907207
этаж_лота_std,4990.650467827526,189.84063567865547,26.28863125108385,1.5064093871606226e-150,4618.554130634194,5362.746805020858,***,4990.650467827526
первый_этаж,-9710.006831579582,1769.0607496154269,-5.48879219308349,4.080767332650875e-08,-13177.446891771091,-6242.566771388073,***,9710.006831579582
месяц_номер_std,-1512.862865398532,181.92360313553357,-8.315924043519768,9.497757936166911e-17,-1869.4414563506298,-1156.2842744464342,***,1512.862865398532
